,,,,,,,,,,,,
,,,,,,,,,,,,
119,,信義,"濁水溪支流
久久安","V5 A2 III
（枯）",100m,2026.1,阿寶,,,,,1han video
120,,信義,"濁水溪支流
治卯山",,,2025.4,,1day,,4day,no,
121,,信義,"濁水溪支流
雙龍瀑布",,,,,,,,,
122,,信義,"清水溪支流
水濂洞瀑布",,,,,,,,,
123,,東埔,"陳有蘭溪
陳有蘭峽谷",,,,,,,,,
124,,東埔,"陳有蘭溪
雲龍瀑布",,,,,,,,,
125,,,能高下雲海,,130m,,煥瑞,,,,,
126,,霧社,"霧社溪支流
上山西北峰","V3 A3 IV
（枯）",80m,2023.11/16,煥瑞,,,,,
127,,霧社,卜溪支流,"V3 A3 III
（枯）",60M,2023.11/17,煥瑞,,,,,支流匯主流
128,,竹山,"加走寮溪
太極峽谷
石杭峽谷","v5 a4 IV
⭐️⭐️⭐️",75m,2026,,,,,,
129,,竹山,加走寮溪,,130m,,,,,,,支流
130,,竹山,"清水溪支流
洞山寮瀑布群","V4 A1 III
⭐️",,,Rich,,,,,1han video
131,,,發祥溪,,,2024.11,rich,,,,,
132,,,蘭島溪,,,2024.11,rich,,,,,
133,,,濁水溪曲冰支流,,,2024.09,rich,,,,,
134,,,久久巢,,,2024.08,rich,,,,,
135,,,彩蝶瀑布,,60m,,,,,,,
136,,,十粒溪上段,V5A4VI,,2024.10.10,煥瑞,,,4day,,下萬大
137,,,十粒溪下段,V5A5VI,,2024.11.15,日本隊,,,4day,,
138,,,眉原溪,,,2024.9,,,,,,支流
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,彰化,Changhua,,,,,,,,,
142,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,雲林,Yunlin,,,,,,,,,
146,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
147,,古坑,"清水溪
同心峽谷",V4 A5III,50m,2025,Justen,20min,yes,,,
148,,古坑,神谷溪,"V3 A4 IV
豐",60m,,,,yes,,,匯主流A4
149,,古坑,"清水溪
萬年峽谷","v4 a3 III
⭐️",45m,,,,,,,
150,,古坑,"竹嵩水溪
蓬萊瀑布","V4 A3 I
⭐️⭐️",100m,,,,,,,
151,,斗六,坪瀨溪,,200m,2021.2/28,蕭昱,,,,,
152,,古坑,天長地久瀑布,,50m,2019,,,,,,1han video
153,,古坑,"清水溪支流
黃鷺瀑布群",,,,,,,,,1han video
154,,嘉義,Chiayi,,,,,,,,,
155,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
156,,,觀音溪,V4 A3 III,70m,,,,,,,
157,,阿里山,"濁水溪
蛟龍瀑布",v6 a3 V,640m,2024.4.21,中搜,1day,yes,2day,,
158,,阿里山,後大埔溪,,70m,2024.08,rich,,yes,1day,,
159,,梅山,"銅寮溪
青龍瀑布","v4 a3 III
⭐️",130m,,,,,,,
160,,梅山,"粗紙坑溪支流
雲潭瀑布",v4 a3 II,50m,,,,,,,
161,,梅山,梅山十六瀑,,100m,,,,,,,
162,,番路,"半嶺溪
半嶺溪瀑布群",v3 a4 III,40m,,,,,,,
163,,番路,"草山溪
青潭瀑布",V2 A3 lll,25m,,,,,,,
164,,,"竹坑溪
龍宮瀑布",,90m,,,,,,,
165,,阿里山,"烏其哈溪
爵爵斯
象山瀑布",V4 A4 V,190m,20240702,煥瑞,4hr,yes,2day,,支流匯主流
166,,,旗山溪,,,,,,,,,
167,,,,,,,,,,,,
168,,台南,Tainan,,,,,,,,,
169,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,,高雄,Kaohsiung,,,,,,,,,
173,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
174,,六龜,"荖濃溪
大智瀑布",V4 A2 III,,,,,,,,1han video
175,,茂林,"溫泉溪
綠寶石",V3 A2 III,,,,,,,,1han video
176,,茂林,"溫泉溪
鬼斧神工","V4 A3 IV
⭐️⭐️",,,,,,,,
177,,茂林,"溫泉溪
烏山大峽谷","V4 A3 VI
⭐️⭐️",150m,2026.2,,,,,,1han video
178,,茂林,"美雅溪
美雅谷",V4 A3 III,,,,,,,,1han video
179,,,"唯金溪
鐵本山出南橫","🄳🅄-V5A5VI
枯⭐️⭐️",105m,2024.1/1,煥瑞,10hr,yes,4day,,photo
180,,茂林,"美雅溪
涵洞瀑布",V3 A1 II,,,,,,,,
181,,桃源,"寶來溪
十坑溫泉",v4 a3 V,60m,,,,,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,屏東,Pingtung,,,,,,,,,
185,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
186,,霧台,"隘寮北溪
飛龍全段","V5 A4 IV
⭐️⭐️（枯）",,2025,,,,,,canyon walker video
187,,霧台,"隘寮北溪
飛龍右股",,,,,,,,,
188,,霧台,"隘寮南溪
草泥馬峽谷","V4 A3 III
⭐️⭐️",,,,,,,,
189,,霧台,"隘寮南溪
逍遙谷","V4 A2 III
⭐️",,2024.8,,,,,,
190,,霧台,"隘寮南溪
舊好茶",,,,,,,,,
191,,霧台,阿禮峽谷瀑布,v4 a3 III,40m,,,,,,,
192,,霧台,伊拉第一瀑布群,v4 a3 III,70m,,,,,,,1han video
193,,霧台,伊拉瀑布群,v4 a3 I,100m,,,,,,,1han video
194,,,,,,,,,,,,
195,,霧台,南伊拉瀑布,V3 A2 III,,,,,,,,
196,,霧台,神山瀑布群,"v4 a3 IV
⭐️⭐️",70m,2016.0326,Malishan,,,,,神山Topo
197,,三地門,"口社溪
大社","V3 A2 III
⭐️",,,,,,,,
198,,,"卡地給洋溪
黑天鵝","V3 A2 III
⭐️",,,行難,,,,,1han video
199,,三地門,大津瀑布,"V3 A2 II
⭐️",,,,,,,,
200,,來義,神鷹瀑布群,V4 A3 III,40m,,,,,,,
201,,來義,尖刀尾左股,,,,蕭昱,,,,,
202,,來義,尖刀尾右股全段,,,,蕭昱,,,,,
203,,萬巒,萬安溪支流,,,,蕭昱,,,,,
204,,瑪家,射鹿溪,v4 a4 III,60m,,,,,,,
205,,瑪家,"射鹿溪
北大武","V5 a3 VI
⭐️⭐️",125m,,阿寶,,,,,
206,,瑪家,"射鹿溪
排雲瀑布",,90m,,,,,,,
207,,瑪家,"射鹿溪
下凸明赤腊",V5 A4 VI,110m,2024.7,佳珊,,,,,
208,,瑪家,牛角灣溪,v3 a3 III,30m,,,,,,,
209,,瑪家,萬安溪,v4 a3,50m,,,,,,,
210,,,"瓦魯斯溪
陽瀑右股",,,2022.1/28,思揚,,,,,
211,,,"瓦魯斯溪
陰瀑",,,,佳珊,,,,,terry video
212,,,山卡,,,202311,rich,,,,,
213,,,,,,,,,,,,
214,,宜蘭,Yilan,,,,,,,,,
215,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
216,,,大里溪,,60m,,,1hr,no,5hr,,terry video
217,,礁溪,"得子口溪左股
林美石磐",V3 A2 III,40m,,,,,,,
218,,礁溪,"得子口溪右股
月眉坑",V4 A2 III,45m,,,,,,,
219,,南澳,達美漢溪,"V3 A2 IV
⭐️",,2025.12,思揚,,Yes,6-8hr,,
220,,南澳,鹿角溪全段,"V4 A3 III
⭐️",60m,20240803,小沙,90min,no,5hr,,walker video
221,,南澳,鹿皮溪,"v4 a4 IV
⭐️",40m,2025.09,,,,,,
222,,南澳,澳花瀑布,v5 a3 V,50m,,,,,,,
223,,南澳,"楓溪
右股",🄳🅄,,2021.03/05,思揚,,,,,Terru video
224,,南澳,"大濁水溪
飯包南山瀑布
匯主流",🄳🅄,150m,2024.3/19,渙謹,,,4day,,photo
225,,三星,天狗溪,"🄳🅄
V3 A2 V",60m,2023.4/30,思揚,,,,,Terry video
226,,東澳,粉鳥林瀑布,v4 a3 III,50m,20240629,小沙,,,,,walker video
227,,大同,迦納富溪,v3 a3 V,40m,,,,,,,
228,,頭城,新峰瀑布,v3 a3 II,45m,,,,,,,
229,,,,,,,,,,,,
230,,花蓮,Hualien,,,,,,,,,
231,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
232,,秀林,"龍溪
馬黑揚瀑布","🄳🅄
V5 A3 III
⭐️⭐️⭐️",160m,2025.12,"佳珊
國際隊",30min,Yes,2day,,
233,,秀林,"木瓜溪支流
天長",🄳🅄,,2023.12/10,煥瑞,,YES,,,
234,,秀林,"木瓜溪支流
磐石旁
全天然點",🄳🅄,,2023.9/13,煥瑞,,YES,,,
235,,秀林,"木瓜溪支流
磐石左左股",🄳🅄,,2023.9/30,煥瑞,,YES,,,
236,,秀林,"木瓜溪支流
木瓜飛瀑",🄳🅄,,,煥瑞,,YES,,,
237,,秀林,"木瓜溪支流
木瓜百米",🄳🅄,,,煥瑞,,YES,,,
238,,秀林,"木瓜溪支流
木瓜窄峽",🄳🅄,,,煥瑞,,YES,,,
239,,,洽勘溪,,,2026.03,日本隊,,yes,5-14day,,
240,,,"清水溪
巨龍峽谷",,,2026.1,賢哥,,,,,
241,,,豐坪溪,,,2025.6,,,,,,
242,,,中平溪,,,202509,,,,,,
243,,,平林溪,,,202509,,,,,,
244,,,西林1,🄳🅄,,,煥瑞,,,,,
245,,,西林2,🄳🅄,,,煥瑞,,,,,
246,,,西林3,🄳🅄,,,煥瑞,,,,,
247,,,西林4,🄳🅄,,,煥瑞,,,,,
248,,,知亞干溪支流,🄳🅄,100m,20240122,煥瑞,1hr,yes,2day,,山益礦場
249,,,萬榮10k,,,,渙謹,,,,,
250,,,萬榮12.6k,V4A4,70m,202507,煥瑞,1hr,yes,1day,,
251,,,萬榮21k,,,202507,冠宇,,,,,
252,,,萬榮23k,"🄳🅄 V4 A3 VI
⭐️⭐️",,20240901,煥瑞,,,,,
253,,,大興瀑布支流,,,,煥瑞,,,,,
254,,,荖溪90支流,,,,煥瑞,,,,,
255,,,吉利,,,,煥瑞,,,,,
256,,,瓦黑爾溪,"V5 A5 IV
⭐️⭐️",,202601,廷倫,,,,,
257,,,西喀拉溪,,,201709,廷倫,,,,,
258,,,荖西溪,,,2017,廷倫,,,,,
259,,,慈恩溪,,,2026,,,,,,
260,,,"三棧南溪
論外山
黃金峽谷","V4 A3 VI
（枯）",60M,2024.1/28,渙謹,10hr,no,3day,,
261,,,杵望溪,,,,小沙,,,,,
262,,,科蘭溪,,,,,,,,,
